product_name,scientific_name,description,traditional_system,geographic_origin,benefits,diseases,chemical_composition
Turmeric Extract,Curcuma longa,Traditional anti-inflammatory herb,Ayurveda,India,"Anti-inflammatory,Antioxidant,Digestive aid","Arthritis,Digestive disorders","{""ingredients"":{""Curcumin"":{""smiles"":""CC1=CC(=C(C=C1)O)C(=O)O"",""molecular_weight"":368.38,""formula"":""C21H20O6""}}}"
Ashwagandha Root,Withania somnifera,Adaptogenic herb for stress relief,Ayurveda,India,"Stress relief,Energy boost,Immune support","Anxiety,Fatigue,Stress","{""ingredients"":{""Withanolides"":{""smiles"":""CC1=CC(=C(C=C1)O)C(=O)O"",""molecular_weight"":470.6,""formula"":""C28H38O6""}}}"
Ginger Root,Zingiber officinale,Traditional digestive aid,TCM,China,"Digestive aid,Anti-nausea,Anti-inflammatory","Nausea,Digestive disorders,Motion sickness","{""ingredients"":{""Gingerol"":{""smiles"":""CC1=CC(=C(C=C1)O)C(=O)O"",""molecular_weight"":294.4,""formula"":""C17H26O4""}}}"
Ginseng Root,Panax ginseng,Energy and vitality herb,TCM,China,"Energy boost,Immune support,Stress relief","Fatigue,Low energy,Stress","{""ingredients"":{""Ginsenosides"":{""smiles"":""CC1=CC(=C(C=C1)O)C(=O)O"",""molecular_weight"":800.0,""formula"":""C42H72O14""}}}"
Echinacea Purpurea,Echinacea purpurea,Immune system support,Western Herbalism,North America,"Immune support,Cold prevention,Anti-inflammatory","Colds,Flu,Immune weakness","{""ingredients"":{""Echinacoside"":{""smiles"":""CC1=CC(=C(C=C1)O)C(=O)O"",""molecular_weight"":786.7,""formula"":""C35H46O20""}}}"
Chamomile Flower,Matricaria chamomilla,Calming and soothing herb,Western Herbalism,Europe,"Calming,Sleep aid,Digestive support","Anxiety,Insomnia,Digestive issues","{""ingredients"":{""Apigenin"":{""smiles"":""CC1=CC(=C(C=C1)O)C(=O)O"",""molecular_weight"":270.2,""formula"":""C15H10O5""}}}"
Peppermint Leaf,Mentha piperita,Digestive and cooling herb,Western Herbalism,Europe,"Digestive aid,Cooling effect,Headache relief","Digestive disorders,Headaches,Nausea","{""ingredients"":{""Menthol"":{""smiles"":""CC1=CC(=C(C=C1)O)C(=O)O"",""molecular_weight"":156.3,""formula"":""C10H20O""}}}"
Lavender Flower,Lavandula angustifolia,Calming and aromatic herb,Western Herbalism,Mediterranean,"Calming,Sleep aid,Stress relief","Anxiety,Insomnia,Stress","{""ingredients"":{""Linalool"":{""smiles"":""CC1=CC(=C(C=C1)O)C(=O)O"",""molecular_weight"":154.3,""formula"":""C10H18O""}}}"
Brahmi Herb,Bacopa monnieri,Brain and memory enhancement,Ayurveda,India,"Memory enhancement,Brain function,Stress relief","Memory loss,Anxiety,Cognitive decline","{""ingredients"":{""Bacosides"":{""smiles"":""CC1=CC(=C(C=C1)O)C(=O)O"",""molecular_weight"":768.9,""formula"":""C41H68O13""}}}"
Tulsi Holy Basil,Ocimum sanctum,Sacred herb for overall wellness,Ayurveda,India,"Immune support,Stress relief,Respiratory health","Stress,Respiratory issues,Immune weakness","{""ingredients"":{""Eugenol"":{""smiles"":""CC1=CC(=C(C=C1)O)C(=O)O"",""molecular_weight"":164.2,""formula"":""C10H12O2""}}}" 
