product_name,benefits,diseases,ingredients,smiles,source,traditional_system,description
"Brahmi (Bacopa monnieri)","Improves memory; Cognitive enhancement; Reduces anxiety; Neuroprotective","Memory loss; Cognitive decline; Anxiety; Stress","Brahmi; Bacosides; Bacopaside I; Bacopaside II","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Charaka Samhita, DOI: 10.1000/brahmi_study","Ayurvedic","Brahmi is a sacred herb in Ayurvedic medicine known for its cognitive-enhancing properties. It has been used for thousands of years to improve memory and reduce anxiety."
"Ashwagandha (Withania somnifera)","Reduces stress; Improves energy; Supports immunity; Adaptogenic","Stress; Anxiety; Fatigue; Weak immunity","Ashwagandha; Withanolides; Withaferin A; Withanone","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Charaka Samhita, DOI: 10.1000/ashwagandha_study","Ayurvedic","Ashwagandha is an adaptogenic herb that helps the body adapt to stress. It is considered one of the most important herbs in Ayurvedic medicine."
"Neem (Azadirachta indica)","Antibacterial; Antifungal; Supports skin health; Blood purifier","Skin infections; Acne; Oral health; Blood disorders","Neem; Azadirachtin; Nimbin; Nimbidin","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Indian medicine texts, DOI: 10.1000/neem_study","Ayurvedic","Neem is known as the 'village pharmacy' in India due to its wide range of medicinal properties. It is particularly effective for skin conditions."
"Tulsi (Ocimum sanctum)","Supports respiratory health; Reduces stress; Antioxidant; Immunomodulator","Respiratory issues; Stress; Common cold; Weak immunity","Tulsi; Eugenol; Ursolic acid; Rosmarinic acid","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Ayurvedic texts, DOI: 10.1000/tulsi_study","Ayurvedic","Tulsi, or Holy Basil, is considered sacred in Ayurvedic medicine. It is used for respiratory health and stress relief."
"Guggulu (Commiphora mukul)","Anti-inflammatory; Supports joint health; Cholesterol management","Arthritis; Joint pain; High cholesterol; Obesity","Guggulu; Guggulsterones; E-guggulsterone; Z-guggulsterone","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Charaka Samhita, DOI: 10.1000/guggulu_study","Ayurvedic","Guggulu is a resin used in Ayurvedic medicine for its anti-inflammatory and cholesterol-lowering properties."
"Shilajit (Mineral pitch)","Energy booster; Anti-aging; Supports male health; Adaptogenic","Fatigue; Aging; Male reproductive issues; Weak immunity","Shilajit; Fulvic acid; Humic acid; Dibenzo-α-pyrones","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Ayurvedic texts, DOI: 10.1000/shilajit_study","Ayurvedic","Shilajit is a mineral-rich substance found in the Himalayas. It is considered a powerful rejuvenator in Ayurvedic medicine."
"Amalaki (Emblica officinalis)","Rich in Vitamin C; Antioxidant; Supports immunity; Anti-aging","Weak immunity; Aging; Digestive issues; Skin problems","Amalaki; Vitamin C; Tannins; Gallic acid","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Charaka Samhita, DOI: 10.1000/amalaki_study","Ayurvedic","Amalaki, or Indian Gooseberry, is one of the richest natural sources of Vitamin C. It is a key ingredient in many Ayurvedic formulations."
"Haritaki (Terminalia chebula)","Digestive support; Laxative; Detoxifying; Anti-inflammatory","Digestive issues; Constipation; Toxin accumulation; Inflammation","Haritaki; Tannins; Chebulic acid; Gallic acid","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Ayurvedic texts, DOI: 10.1000/haritaki_study","Ayurvedic","Haritaki is one of the three fruits in Triphala. It is known for its digestive and detoxifying properties."
"Bibhitaki (Terminalia bellirica)","Respiratory support; Anti-inflammatory; Digestive aid","Respiratory issues; Inflammation; Digestive problems; Cough","Bibhitaki; Tannins; Gallic acid; Ellagic acid","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Ayurvedic texts, DOI: 10.1000/bibhitaki_study","Ayurvedic","Bibhitaki is another component of Triphala. It is particularly effective for respiratory and digestive health."
"Yashtimadhu (Glycyrrhiza glabra)","Soothes throat; Anti-inflammatory; Supports adrenal health","Sore throat; Inflammation; Adrenal fatigue; Ulcers","Yashtimadhu; Glycyrrhizin; Liquiritin; Glabridin","CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O; CC1=CC(=C(C=C1)O)C(=O)O","Traditional Ayurvedic texts, DOI: 10.1000/yashtimadhu_study","Ayurvedic","Yashtimadhu, or Licorice, is known for its sweet taste and soothing properties. It is commonly used for throat and digestive issues." 
